token,left_label,right_label,cosine_similarity,cosine_distance,left_count,right_count,min_count,max_count,mean_count,count_ratio_max_to_min,clean_token,is_short_token,has_repeated_char_pattern,has_nonstandard_chars,is_probable_name,is_probable_filler,quality_flags
er,1970_1979,1980_1989,0.26166605949401855,0.7383339405059814,208,210,208,210,209.0,1.0096153846153846,False,True,False,False,False,False,too_short
youth,1970_1979,1980_1989,0.3108152747154236,0.6891847252845764,566,1485,566,1485,1025.5,2.6236749116607774,False,False,False,False,False,True,probable_filler
robot,1970_1979,1980_1989,0.3143303096294403,0.6856696903705597,170,249,170,249,209.5,1.464705882352941,True,False,False,False,False,False,
annie,1970_1979,1980_1989,0.3197528123855591,0.6802471876144409,283,632,283,632,457.5,2.23321554770318,False,False,False,False,True,False,probable_name
buddy,1970_1979,1980_1989,0.3255758285522461,0.6744241714477539,448,787,448,787,617.5,1.7566964285714286,True,False,False,False,False,False,
aha,1970_1979,1980_1989,0.3374619781970978,0.6625380218029022,276,338,276,338,307.0,1.2246376811594204,False,False,False,False,False,True,probable_filler
crave,1970_1979,1980_1989,0.34306252002716064,0.6569374799728394,103,241,103,241,172.0,2.3398058252427183,True,False,False,False,False,False,
daydream,1970_1979,1980_1989,0.3431228697299957,0.6568771302700043,258,177,177,258,217.5,1.4576271186440677,True,False,False,False,False,False,
monster,1970_1979,1980_1989,0.3479330837726593,0.6520669162273407,280,457,280,457,368.5,1.6321428571428571,True,False,False,False,False,False,
macho,1970_1979,1980_1989,0.3517540693283081,0.6482459306716919,219,224,219,224,221.5,1.0228310502283104,True,False,False,False,False,False,
crew,1970_1979,1980_1989,0.3523935079574585,0.6476064920425415,263,1440,263,1440,851.5,5.475285171102661,True,False,False,False,False,False,
fred,1970_1979,1980_1989,0.3538735806941986,0.6461264193058014,257,229,229,257,243.0,1.1222707423580787,True,False,False,False,False,False,
cookie,1970_1979,1980_1989,0.355196475982666,0.644803524017334,236,145,145,236,190.5,1.6275862068965516,True,False,False,False,False,False,
donna,1970_1979,1980_1989,0.3553010821342468,0.6446989178657532,176,157,157,176,166.5,1.1210191082802548,False,False,False,False,True,False,probable_name
yeh,1970_1979,1980_1989,0.35715341567993164,0.6428465843200684,275,356,275,356,315.5,1.2945454545454544,False,False,False,False,False,True,probable_filler
satellite,1970_1979,1980_1989,0.3641258180141449,0.6358741819858551,103,258,103,258,180.5,2.504854368932039,True,False,False,False,False,False,
duck,1970_1979,1980_1989,0.36539945006370544,0.6346005499362946,198,610,198,610,404.0,3.080808080808081,True,False,False,False,False,False,
sh,1970_1979,1980_1989,0.36929798126220703,0.630702018737793,215,255,215,255,235.0,1.186046511627907,False,True,False,False,False,False,too_short
bug,1970_1979,1980_1989,0.37173065543174744,0.6282693445682526,154,321,154,321,237.5,2.0844155844155843,True,False,False,False,False,False,
metal,1970_1979,1980_1989,0.371737003326416,0.628262996673584,273,1645,273,1645,959.0,6.0256410256410255,True,False,False,False,False,False,
camp,1970_1979,1980_1989,0.37945351004600525,0.6205464899539948,154,206,154,206,180.0,1.3376623376623376,True,False,False,False,False,False,
susan,1970_1979,1980_1989,0.3799700438976288,0.6200299561023712,124,111,111,124,117.5,1.117117117117117,False,False,False,False,True,False,probable_name
heavy,1970_1979,1980_1989,0.3806508779525757,0.6193491220474243,1552,2053,1552,2053,1802.5,1.3228092783505154,True,False,False,False,False,False,
rush,1970_1979,1980_1989,0.38366249203681946,0.6163375079631805,400,1049,400,1049,724.5,2.6225,True,False,False,False,False,False,
don,1970_1979,1980_1989,0.38410818576812744,0.6158918142318726,403,1143,403,1143,773.0,2.836228287841191,True,False,False,False,False,False,
eah,1970_1979,1980_1989,0.38426709175109863,0.6157329082489014,176,102,102,176,139.0,1.7254901960784315,True,False,False,False,False,False,
wit,1970_1979,1980_1989,0.38526248931884766,0.6147375106811523,124,398,124,398,261.0,3.2096774193548385,True,False,False,False,False,False,
invisible,1970_1979,1980_1989,0.3864460289478302,0.6135539710521698,115,469,115,469,292.0,4.078260869565217,True,False,False,False,False,False,
wi,1970_1979,1980_1989,0.3876012861728668,0.6123987138271332,127,161,127,161,144.0,1.2677165354330708,False,True,False,False,False,False,too_short
soldier,1970_1979,1980_1989,0.38813504576683044,0.6118649542331696,682,1090,682,1090,886.0,1.598240469208211,True,False,False,False,False,False,
code,1970_1979,1980_1989,0.39013639092445374,0.6098636090755463,130,364,130,364,247.0,2.8,True,False,False,False,False,False,
judy,1970_1979,1980_1989,0.39064323902130127,0.6093567609786987,132,206,132,206,169.0,1.5606060606060606,False,False,False,False,True,False,probable_name
charlie,1970_1979,1980_1989,0.3917815089225769,0.6082184910774231,378,457,378,457,417.5,1.208994708994709,False,False,False,False,True,False,probable_name
wee,1970_1979,1980_1989,0.3936644494533539,0.6063355505466461,569,575,569,575,572.0,1.0105448154657293,True,False,False,False,False,False,
louie,1970_1979,1980_1989,0.3936880826950073,0.6063119173049927,205,307,205,307,256.0,1.497560975609756,False,False,False,False,True,True,probable_name|probable_filler
force,1970_1979,1980_1989,0.3944721519947052,0.6055278480052948,529,1529,529,1529,1029.0,2.890359168241966,True,False,False,False,False,False,
um,1970_1979,1980_1989,0.39448001980781555,0.6055199801921844,281,362,281,362,321.5,1.2882562277580072,False,True,False,False,False,False,too_short
main,1970_1979,1980_1989,0.39456337690353394,0.6054366230964661,492,769,492,769,630.5,1.5630081300813008,True,False,False,False,False,False,
bobby,1970_1979,1980_1989,0.3952387571334839,0.6047612428665161,652,360,360,652,506.0,1.8111111111111111,False,False,False,False,True,False,probable_name
louise,1970_1979,1980_1989,0.39607536792755127,0.6039246320724487,158,146,146,158,152.0,1.082191780821918,False,False,False,False,False,True,probable_filler
chop,1970_1979,1980_1989,0.3965368866920471,0.6034631133079529,173,258,173,258,215.5,1.4913294797687862,True,False,False,False,False,False,
pig,1970_1979,1980_1989,0.39742621779441833,0.6025737822055817,191,400,191,400,295.5,2.094240837696335,True,False,False,False,False,False,
freak,1970_1979,1980_1989,0.39752817153930664,0.6024718284606934,808,2294,808,2294,1551.0,2.839108910891089,True,False,False,False,False,False,
mhm,1970_1979,1980_1989,0.3978882431983948,0.6021117568016052,270,199,199,270,234.5,1.35678391959799,True,False,False,False,False,False,
mo,1970_1979,1980_1989,0.39848145842552185,0.6015185415744781,206,431,206,431,318.5,2.092233009708738,False,True,False,False,False,False,too_short
finish,1970_1979,1980_1989,0.3986431956291199,0.6013568043708801,222,518,222,518,370.0,2.3333333333333335,True,False,False,False,False,False,
george,1970_1979,1980_1989,0.3999687731266022,0.6000312268733978,327,543,327,543,435.0,1.6605504587155964,True,False,False,False,False,False,
co,1970_1979,1980_1989,0.40048131346702576,0.5995186865329742,126,254,126,254,190.0,2.015873015873016,False,True,False,False,False,False,too_short
julie,1970_1979,1980_1989,0.40124809741973877,0.5987519025802612,184,246,184,246,215.0,1.3369565217391304,False,False,False,False,True,False,probable_name
eddie,1970_1979,1980_1989,0.4027054011821747,0.5972945988178253,166,282,166,282,224.0,1.6987951807228916,False,False,False,False,True,False,probable_name
greedy,1970_1979,1980_1989,0.4027446508407593,0.5972553491592407,207,226,207,226,216.5,1.0917874396135265,True,False,False,False,False,False,
mission,1970_1979,1980_1989,0.4031888246536255,0.5968111753463745,173,781,173,781,477.0,4.514450867052023,True,False,False,False,False,False,
crack,1970_1979,1980_1989,0.4043235182762146,0.5956764817237854,357,1623,357,1623,990.0,4.546218487394958,True,False,False,False,False,False,
means,1970_1979,1980_1989,0.40559330582618713,0.5944066941738129,1435,2787,1435,2787,2111.0,1.9421602787456447,True,False,False,False,False,False,
super,1970_1979,1980_1989,0.40576857328414917,0.5942314267158508,702,1437,702,1437,1069.5,2.047008547008547,True,False,False,False,False,False,
nancy,1970_1979,1980_1989,0.40692251920700073,0.5930774807929993,108,253,108,253,180.5,2.3425925925925926,False,False,False,False,True,False,probable_name
dot,1970_1979,1980_1989,0.4069499671459198,0.5930500328540802,138,130,130,138,134.0,1.0615384615384615,True,False,False,False,False,False,
rap,1970_1979,1980_1989,0.40852344036102295,0.591476559638977,268,3194,268,3194,1731.0,11.917910447761194,True,False,False,False,False,False,
wo,1970_1979,1980_1989,0.41080984473228455,0.5891901552677155,717,829,717,829,773.0,1.1562064156206415,False,True,False,False,False,False,too_short
al,1970_1979,1980_1989,0.4117141664028168,0.5882858335971832,115,311,115,311,213.0,2.7043478260869565,False,True,False,False,False,False,too_short
cuz,1970_1979,1980_1989,0.41246649622917175,0.5875335037708282,223,939,223,939,581.0,4.210762331838565,True,False,False,False,False,False,
request,1970_1979,1980_1989,0.41303545236587524,0.5869645476341248,101,316,101,316,208.5,3.128712871287129,True,False,False,False,False,False,
im,1970_1979,1980_1989,0.41334542632102966,0.5866545736789703,392,608,392,608,500.0,1.5510204081632653,False,True,False,False,False,False,too_short
christian,1970_1979,1980_1989,0.4134942293167114,0.5865057706832886,151,376,151,376,263.5,2.4900662251655628,True,False,False,False,False,False,
sucker,1970_1979,1980_1989,0.41370412707328796,0.586295872926712,296,1399,296,1399,847.5,4.726351351351352,True,False,False,False,False,False,
wizard,1970_1979,1980_1989,0.41573014855384827,0.5842698514461517,137,240,137,240,188.5,1.7518248175182483,True,False,False,False,False,False,
skate,1970_1979,1980_1989,0.4181370437145233,0.5818629562854767,106,169,106,169,137.5,1.5943396226415094,True,False,False,False,False,False,
cosmic,1970_1979,1980_1989,0.4182070195674896,0.5817929804325104,189,216,189,216,202.5,1.1428571428571428,True,False,False,False,False,False,
dr,1970_1979,1980_1989,0.4186364412307739,0.5813635587692261,289,755,289,755,522.0,2.612456747404844,False,True,False,False,False,False,too_short
manhattan,1970_1979,1980_1989,0.4190847873687744,0.5809152126312256,173,206,173,206,189.5,1.1907514450867052,True,False,False,False,False,False,
ray,1970_1979,1980_1989,0.4197119176387787,0.5802880823612213,332,613,332,613,472.5,1.8463855421686748,True,False,False,False,False,False,
buzz,1970_1979,1980_1989,0.4198920726776123,0.5801079273223877,271,282,271,282,276.5,1.040590405904059,True,False,False,False,False,False,
harry,1970_1979,1980_1989,0.4204915761947632,0.5795084238052368,198,395,198,395,296.5,1.994949494949495,False,False,False,False,True,False,probable_name
rave,1970_1979,1980_1989,0.42052194476127625,0.5794780552387238,119,241,119,241,180.0,2.0252100840336134,True,False,False,False,False,False,
rebel,1970_1979,1980_1989,0.4212067127227783,0.5787932872772217,440,712,440,712,576.0,1.6181818181818182,True,False,False,False,False,False,
fresh,1970_1979,1980_1989,0.4213142693042755,0.5786857306957245,437,2246,437,2246,1341.5,5.139588100686499,True,False,False,False,False,False,
fit,1970_1979,1980_1989,0.4215247631072998,0.5784752368927002,936,1545,936,1545,1240.5,1.6506410256410255,True,False,False,False,False,False,
jenny,1970_1979,1980_1989,0.4218761622905731,0.5781238377094269,256,302,256,302,279.0,1.1796875,False,False,False,False,True,False,probable_name
snake,1970_1979,1980_1989,0.4234636127948761,0.5765363872051239,343,703,343,703,523.0,2.0495626822157433,True,False,False,False,False,False,
hu,1970_1979,1980_1989,0.4235614538192749,0.5764385461807251,150,184,150,184,167.0,1.2266666666666666,False,True,False,False,False,False,too_short
suppose,1970_1979,1980_1989,0.42418816685676575,0.5758118331432343,307,524,307,524,415.5,1.706840390879479,True,False,False,False,False,False,
funeral,1970_1979,1980_1989,0.4255634546279907,0.5744365453720093,160,295,160,295,227.5,1.84375,True,False,False,False,False,False,
jim,1970_1979,1980_1989,0.425913006067276,0.574086993932724,346,455,346,455,400.5,1.3150289017341041,False,False,False,False,True,False,probable_name
split,1970_1979,1980_1989,0.426124632358551,0.573875367641449,287,642,287,642,464.5,2.2369337979094075,True,False,False,False,False,False,
ego,1970_1979,1980_1989,0.4269605278968811,0.5730394721031189,173,339,173,339,256.0,1.9595375722543353,True,False,False,False,False,False,
ta,1970_1979,1980_1989,0.4278539717197418,0.5721460282802582,490,497,490,497,493.5,1.0142857142857142,False,True,False,False,False,False,too_short
incredible,1970_1979,1980_1989,0.42844823002815247,0.5715517699718475,102,216,102,216,159.0,2.1176470588235294,True,False,False,False,False,False,
disaster,1970_1979,1980_1989,0.4285438656806946,0.5714561343193054,136,438,136,438,287.0,3.2205882352941178,True,False,False,False,False,False,
punch,1970_1979,1980_1989,0.42880263924598694,0.5711973607540131,127,481,127,481,304.0,3.7874015748031495,True,False,False,False,False,False,
also,1970_1979,1980_1989,0.4288313388824463,0.5711686611175537,415,830,415,830,622.5,2.0,True,False,False,False,False,False,
lucifer,1970_1979,1980_1989,0.42899641394615173,0.5710035860538483,147,165,147,165,156.0,1.1224489795918366,True,False,False,False,False,False,
non,1970_1979,1980_1989,0.4292486906051636,0.5707513093948364,196,487,196,487,341.5,2.4846938775510203,True,False,False,False,False,False,
lyrics,1970_1979,1980_1989,0.429751455783844,0.570248544216156,117,688,117,688,402.5,5.880341880341881,True,False,False,False,False,False,
dolls,1970_1979,1980_1989,0.43062636256217957,0.5693736374378204,107,171,107,171,139.0,1.5981308411214954,True,False,False,False,False,False,
dangerous,1970_1979,1980_1989,0.4307001233100891,0.5692998766899109,249,1395,249,1395,822.0,5.602409638554217,True,False,False,False,False,False,
crush,1970_1979,1980_1989,0.43127888441085815,0.5687211155891418,134,774,134,774,454.0,5.776119402985074,True,False,False,False,False,False,
smokey,1970_1979,1980_1989,0.43195727467536926,0.5680427253246307,137,113,113,137,125.0,1.2123893805309736,True,False,False,False,False,False,
woe,1970_1979,1980_1989,0.43196508288383484,0.5680349171161652,225,258,225,258,241.5,1.1466666666666667,True,False,False,False,False,False,
romeo,1970_1979,1980_1989,0.43251046538352966,0.5674895346164703,158,458,158,458,308.0,2.8987341772151898,True,False,False,False,False,False,
dragon,1970_1979,1980_1989,0.4332602024078369,0.5667397975921631,222,298,222,298,260.0,1.3423423423423424,True,False,False,False,False,False,
